MeasurementId,timeId,Count,Type
7_7rGGG_stop___6_6rFFF_stop___bus___bus2___From_2_to_3_bus2,AfterMorningPeak,0.0,smartCardEntryAndExit
7_7rGGG_stop___6_6rFFF_stop___bus___bus2___From_2_to_3_bus2,AfternoonPeak,0.0,smartCardEntryAndExit
bus2___From_2_to_3_bus2___7_7rGGG_stop,MorningPeak,0.0,smartCardEntry
bus2___From_2_to_3_bus2___7_7rGGG_stop,AfterMorningPeak,5.0,smartCardEntry
bus2___From_2_to_3_bus2___7_7rGGG_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus2___From_2_to_3_bus2___7_7rGGG_stop,AfternoonPeak,82.0,smartCardEntry
bus2___From_2_to_3_bus2___7_7rGGG_stop,BeforeMorningPeak,0.0,smartCardEntry
4r_4DDD_stop___2r_2BBB_stop___bus1___From_4_to_1_bus1,MorningPeak,0.0,smartCardEntryAndExit
4r_4DDD_stop___2r_2BBB_stop___bus1___From_4_to_1_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
4r_4DDD_stop___2r_2BBB_stop___bus1___From_4_to_1_bus1,AfterAfternoonPeak,0.0,smartCardEntryAndExit
4r_4DDD_stop___2r_2BBB_stop___bus1___From_4_to_1_bus1,AfternoonPeak,16.0,smartCardEntryAndExit
4r_4DDD_stop___2r_2BBB_stop___bus1___From_4_to_1_bus1,BeforeMorningPeak,0.0,smartCardEntryAndExit
5r_5EEE_stop___2r_2BBB_stop___bus___bus2___From_3_to_2_bus2,AfterMorningPeak,0.0,smartCardEntryAndExit
5r_5EEE_stop___2r_2BBB_stop___bus___bus2___From_3_to_2_bus2,AfternoonPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___5r_5EEE_stop___bus___bus1___From_4_to_1_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___5r_5EEE_stop___bus___bus1___From_4_to_1_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
1_1rAAA_stop___2_2rBBB_stop___bus1___From_1_to_4_bus1,MorningPeak,28.0,smartCardEntryAndExit
1_1rAAA_stop___2_2rBBB_stop___bus1___From_1_to_4_bus1,AfterMorningPeak,28.0,smartCardEntryAndExit
1_1rAAA_stop___2_2rBBB_stop___bus1___From_1_to_4_bus1,AfterAfternoonPeak,0.0,smartCardEntryAndExit
1_1rAAA_stop___2_2rBBB_stop___bus1___From_1_to_4_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
1_1rAAA_stop___2_2rBBB_stop___bus1___From_1_to_4_bus1,BeforeMorningPeak,0.0,smartCardEntryAndExit
7r_6,MorningPeak,30.0,linkVolume
7r_6,AfterMorningPeak,191.0,linkVolume
7r_6,AfterAfternoonPeak,48.0,linkVolume
7r_6,AfternoonPeak,3375.0,linkVolume
7r_6,BeforeMorningPeak,84.0,linkVolume
1_1rAAA_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,MorningPeak,1.0,smartCardEntryAndExit
1_1rAAA_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,AfterMorningPeak,2.0,smartCardEntryAndExit
1_1rAAA_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,AfterAfternoonPeak,0.0,smartCardEntryAndExit
1_1rAAA_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
1_1rAAA_stop___6_6rFFF_stop___bus1___From_1_to_4_bus1,BeforeMorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___1r_1AAA_stop___bus___bus1___From_4_to_1_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___1r_1AAA_stop___bus___bus1___From_4_to_1_bus1,AfternoonPeak,0.0,smartCardEntryAndExit
bus2___From_2_to_3_bus2___5_5rEEE_stop,MorningPeak,54.0,smartCardEntry
bus2___From_2_to_3_bus2___5_5rEEE_stop,AfterMorningPeak,36.0,smartCardEntry
bus2___From_2_to_3_bus2___5_5rEEE_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus2___From_2_to_3_bus2___5_5rEEE_stop,AfternoonPeak,0.0,smartCardEntry
bus2___From_2_to_3_bus2___5_5rEEE_stop,BeforeMorningPeak,0.0,smartCardEntry
6r_6FFF_stop___7r_7GGG_stop___bus___bus2___From_3_to_2_bus2,MorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___7r_7GGG_stop___bus___bus2___From_3_to_2_bus2,AfterMorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___7r_7GGG_stop___bus___bus2___From_3_to_2_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
3r_4,MorningPeak,1881.0,linkVolume
3r_4,AfterMorningPeak,437.0,linkVolume
3r_4,AfterAfternoonPeak,0.0,linkVolume
3r_4,AfternoonPeak,0.0,linkVolume
3r_4,BeforeMorningPeak,0.0,linkVolume
3_6r,MorningPeak,1571.0,linkVolume
3_6r,AfterMorningPeak,169.0,linkVolume
3_6r,AfterAfternoonPeak,78.0,linkVolume
3_6r,AfternoonPeak,78.0,linkVolume
3_6r,BeforeMorningPeak,137.0,linkVolume
MTR2___From_3_to_2_MTR2___5r_5EEE_stop_train,MorningPeak,0.0,smartCardEntry
MTR2___From_3_to_2_MTR2___5r_5EEE_stop_train,AfterMorningPeak,0.0,smartCardEntry
MTR2___From_3_to_2_MTR2___5r_5EEE_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR2___From_3_to_2_MTR2___5r_5EEE_stop_train,AfternoonPeak,0.0,smartCardEntry
MTR2___From_3_to_2_MTR2___5r_5EEE_stop_train,BeforeMorningPeak,0.0,smartCardEntry
2_2rBBB_stop___7_7rGGG_stop___bus___bus2___From_2_to_3_bus2,MorningPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___7_7rGGG_stop___bus___bus2___From_2_to_3_bus2,AfterMorningPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___7_7rGGG_stop___bus___bus2___From_2_to_3_bus2,BeforeMorningPeak,0.0,smartCardEntryAndExit
7r_7GGG_stop_train___2r_2BBB_stop_train___train,AfterMorningPeak,31.0,smartCardEntryAndExit
7r_7GGG_stop_train___2r_2BBB_stop_train___train,AfternoonPeak,1818.0,smartCardEntryAndExit
4_3r,MorningPeak,0.0,linkVolume
4_3r,AfterMorningPeak,72.0,linkVolume
4_3r,AfterAfternoonPeak,0.0,linkVolume
4_3r,AfternoonPeak,2255.0,linkVolume
4_3r,BeforeMorningPeak,0.0,linkVolume
MTR2___From_2_to_3_MTR2___2_2rBBB_stop_train,MorningPeak,2727.0,smartCardEntry
MTR2___From_2_to_3_MTR2___2_2rBBB_stop_train,AfterMorningPeak,876.0,smartCardEntry
MTR2___From_2_to_3_MTR2___2_2rBBB_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR2___From_2_to_3_MTR2___2_2rBBB_stop_train,AfternoonPeak,0.0,smartCardEntry
MTR2___From_2_to_3_MTR2___2_2rBBB_stop_train,BeforeMorningPeak,0.0,smartCardEntry
3_2r,MorningPeak,0.0,linkVolume
3_2r,AfterMorningPeak,29.0,linkVolume
3_2r,AfterAfternoonPeak,0.0,linkVolume
3_2r,AfternoonPeak,3158.0,linkVolume
3_2r,BeforeMorningPeak,0.0,linkVolume
bus1___From_4_to_1_bus1___2r_2BBB_stop,MorningPeak,0.0,smartCardEntry
bus1___From_4_to_1_bus1___2r_2BBB_stop,AfterMorningPeak,0.0,smartCardEntry
bus1___From_4_to_1_bus1___2r_2BBB_stop,AfterAfternoonPeak,0.0,smartCardEntry
bus1___From_4_to_1_bus1___2r_2BBB_stop,AfternoonPeak,4.0,smartCardEntry
bus1___From_4_to_1_bus1___2r_2BBB_stop,BeforeMorningPeak,0.0,smartCardEntry
MTR1___From_1_to_4_MTR1___1_1rAAA_stop_train,MorningPeak,2693.0,smartCardEntry
MTR1___From_1_to_4_MTR1___1_1rAAA_stop_train,AfterMorningPeak,816.0,smartCardEntry
MTR1___From_1_to_4_MTR1___1_1rAAA_stop_train,AfterAfternoonPeak,0.0,smartCardEntry
MTR1___From_1_to_4_MTR1___1_1rAAA_stop_train,AfternoonPeak,0.0,smartCardEntry
MTR1___From_1_to_4_MTR1___1_1rAAA_stop_train,BeforeMorningPeak,0.0,smartCardEntry
2_1r,MorningPeak,54.0,linkVolume
2_1r,AfterMorningPeak,117.0,linkVolume
2_1r,AfterAfternoonPeak,72.0,linkVolume
2_1r,AfternoonPeak,2390.0,linkVolume
2_1r,BeforeMorningPeak,126.0,linkVolume
2_2rBBB_stop___6_6rFFF_stop___bus___bus1___From_1_to_4_bus1,MorningPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___6_6rFFF_stop___bus___bus1___From_1_to_4_bus1,AfterMorningPeak,0.0,smartCardEntryAndExit
2_2rBBB_stop___6_6rFFF_stop___bus___bus1___From_1_to_4_bus1,BeforeMorningPeak,0.0,smartCardEntryAndExit
7_7rGGG_stop_train___5r_5EEE_stop_train___train,AfterMorningPeak,0.0,smartCardEntryAndExit
7_7rGGG_stop_train___5r_5EEE_stop_train___train,AfternoonPeak,30.0,smartCardEntryAndExit
6_5r,MorningPeak,84.0,linkVolume
6_5r,AfterMorningPeak,181.0,linkVolume
6_5r,AfterAfternoonPeak,112.0,linkVolume
6_5r,AfternoonPeak,2679.0,linkVolume
6_5r,BeforeMorningPeak,196.0,linkVolume
6r_6FFF_stop___1r_1AAA_stop___bus1___From_4_to_1_bus1,MorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___1r_1AAA_stop___bus1___From_4_to_1_bus1,AfterMorningPeak,2.0,smartCardEntryAndExit
6r_6FFF_stop___1r_1AAA_stop___bus1___From_4_to_1_bus1,AfterAfternoonPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___1r_1AAA_stop___bus1___From_4_to_1_bus1,AfternoonPeak,23.0,smartCardEntryAndExit
6r_6FFF_stop___1r_1AAA_stop___bus1___From_4_to_1_bus1,BeforeMorningPeak,0.0,smartCardEntryAndExit
6r_6FFF_stop___7r_7GGG_stop___bus2___From_3_to_2_bus2,MorningPeak,106.0,smartCardEntryAndExit
